Questionnaire Number,Q60,Q61,Q62,Q63,Q64,Q65,Q66,Q67,Q68,Q69,Q70,Q71,Q72,Q73,Q74,Q75
109,,5,4,1,2,3,1,2,3,4,3,4,3,5,5,4
110,,5,3,5,2,5,4,4,5,4,4,5,3,5,5,3
111,,4,3,5,2,3,4,4,5,5,4,4,4,4,4,4
112,,2,2,4,3,2,2,2,1,5,4,4,4,5,4,4
113,,4,4,4,4,4,4,2,3,3,2,4,4,5,5,4
114,,4,4,3,4,4,4,3,4,3,3,2,2,1,5,4
115,,2,3,3,2,3,5,3,3,5,3,5,3,4,5,3
116,,3,4,3,3,4,2,3,4,3,3,4,3,2,4,3
117,,3,3,5,3,3,2,3,4,5,3,2,2,1,2,2
118,,3,4,3,3,4,5,4,4,4,4,4,4,4,4,4
119,,3,4,5,3,4,5,5,4,3,5,4,3,5,5,4
120,,,,,,,,,,,,,,,,
